,pretrained_model_name,num_params,validation_accuracy
8,MobileNet,3228864,0.900195718
23,EfficientNetV2B1,6931124,0.898238719
24,EfficientNetV2B2,8769374,0.892367899
15,EfficientNetB1,6575239,0.88649708
10,DenseNet121,7037504,0.88649708
12,DenseNet201,18321984,0.88649708
25,EfficientNetV2B3,12930622,0.884540141
14,EfficientNetB0,4049571,0.882583141
11,DenseNet169,12642880,0.880626202
26,EfficientNetV2S,20331360,0.880626202
22,EfficientNetV2B0,5919312,0.876712322
5,ResNet101V2,42626560,0.872798443
16,EfficientNetB2,7768569,0.870841503
2,ResNet50,23587712,0.868884563
17,EfficientNetB3,10783535,0.868884563
18,EfficientNetB4,17673823,0.855185926
19,EfficientNetB5,28513527,0.851271987
4,ResNet101,42658176,0.851271987
1,Xception,20861480,0.841487288
9,MobileNetV2,2257984,0.839530349
6,ResNet152,58370944,0.83561641
27,EfficientNetV2M,53150388,0.83365947
21,EfficientNetB7,64097687,0.829745591
7,ResNet152V2,58331648,0.823874772
2,InceptionV3,21802784,0.821917832
20,EfficientNetB6,40960143,0.819960833
3,ResNet50V2,23564800,0.819960833
28,EfficientNetV2L,117746848,0.796477497
0,EfficientNetV2L,117746848,0.796477497
0,VGG16,14714688,0.780821919
1,VGG19,20024384,0.743639946
13,NASNetMobile,4269716,0.743639946
0,NASNetLarge,84916818,0.741682947
