,pretrained_model_name,num_params,validation_accuracy
24,EfficientNetV2B2,8769374,0.889428914
22,EfficientNetV2B0,5919312,0.881531
12,DenseNet201,18321984,0.879708409
25,EfficientNetV2B3,12930622,0.876063168
26,EfficientNetV2S,20331360,0.875455678
11,DenseNet169,12642880,0.875455678
23,EfficientNetV2B1,6931124,0.874848127
15,EfficientNetB1,6575239,0.871202946
14,EfficientNetB0,4049571,0.869987845
16,EfficientNetB2,7768569,0.862089932
18,EfficientNetB4,17673823,0.860874832
17,EfficientNetB3,10783535,0.859659791
21,EfficientNetB7,64097687,0.859052241
20,EfficientNetB6,40960143,0.85722965
8,MobileNet,3228864,0.85722965
6,ResNet152,58370944,0.855407059
2,ResNet50,23587712,0.846294045
4,ResNet101,42658176,0.845079005
19,EfficientNetB5,28513527,0.845079005
10,DenseNet121,7037504,0.844471455
27,EfficientNetV2M,53150388,0.836573541
0,Xception,20861480,0.834750891
28,EfficientNetV2L,117746848,0.830498159
5,ResNet101V2,42626560,0.821385205
3,ResNet50V2,23564800,0.812272191
2,InceptionResNetV2,54336736,0.812272191
1,InceptionV3,21802784,0.807411909
7,ResNet152V2,58331648,0.806804359
9,MobileNetV2,2257984,0.794046164
0,VGG16,14714688,0.791008532
13,NASNetMobile,4269716,0.7618469
1,VGG19,20024384,0.754556477
